household,article_aligned,pv_mode,event_mode,grid,qe,qp,label,E_kWh,P_kW,g_pp,rho_pct,rho_pv_pct,dispatch_violation,is_pareto,is_frozen
id02,False,native,event_window,5x5,0.25,0.95,E25-P95,0,4.996,0,0.473864885831,0.473864885831,0,False,False
id02,False,native,event_window,5x5,0.5,0.25,E50-P25,1.955,0,0,0.473864885831,0.473864885831,0,False,True
id02,False,native,event_window,5x5,0.5,0.5,E50-P50,1.955,0.896,1.26354283103,1.73740771686,0.473864885831,0,True,False
id02,False,native,event_window,5x5,0.5,0.75,E50-P75,1.955,2.264,1.47315316415,1.94701804998,0.473864885831,0,True,True
id02,False,native,event_window,5x5,0.5,0.9,E50-P90,1.955,4.35,1.482306719,1.95617160483,0.473864885831,0,True,False
id02,False,native,event_window,5x5,0.5,0.95,E50-P95,1.955,4.996,1.482306719,1.95617160483,0.473864885831,0,False,False
id02,False,native,event_window,5x5,0.75,0.25,E75-P25,5.079,0,0,0.473864885831,0.473864885831,0,False,True
id02,False,native,event_window,5x5,0.75,0.5,E75-P50,5.079,0.896,1.42970511764,1.90357000347,0.473864885831,0,True,False
id02,False,native,event_window,5x5,0.75,0.75,E75-P75,5.079,2.264,1.8693174407,2.34318232653,0.473864885831,0,True,False
id02,False,native,event_window,5x5,0.75,0.9,E75-P90,5.079,4.35,1.90380836385,2.37767324968,0.473864885831,0,True,False
id02,False,native,event_window,5x5,0.75,0.95,E75-P95,5.079,4.996,1.90380836385,2.37767324968,0.473864885831,0,False,False
id02,False,native,event_window,5x5,0.9,0.25,E90-P25,7.048,0,0,0.473864885831,0.473864885831,0,False,False
id02,False,native,event_window,5x5,0.9,0.5,E90-P50,7.048,0.896,1.42970511764,1.90357000347,0.473864885831,0,False,False
id02,False,native,event_window,5x5,0.9,0.75,E90-P75,7.048,2.264,1.8693174407,2.34318232653,0.473864885831,0,False,False
id02,False,native,event_window,5x5,0.9,0.9,E90-P90,7.048,4.35,1.90380836385,2.37767324968,0.473864885831,0,False,False
id02,False,native,event_window,5x5,0.9,0.95,E90-P95,7.048,4.996,1.90380836385,2.37767324968,0.473864885831,0,False,False
id02,False,native,event_window,5x5,0.95,0.25,E95-P25,8.098,0,0,0.473864885831,0.473864885831,0,False,False
id02,False,native,event_window,5x5,0.95,0.5,E95-P50,8.098,0.896,1.42970511764,1.90357000347,0.473864885831,0,False,False
id02,False,native,event_window,5x5,0.95,0.75,E95-P75,8.098,2.264,1.8693174407,2.34318232653,0.473864885831,0,False,False
id02,False,native,event_window,5x5,0.95,0.9,E95-P90,8.098,4.35,1.90380836385,2.37767324968,0.473864885831,0,False,False
id02,False,native,event_window,5x5,0.95,0.95,E95-P95,8.098,4.996,1.90380836385,2.37767324968,0.473864885831,0,False,False
id03,False,native,event_window,3x3,0.5,0.5,E50-P50,1.408,0.646,0.796643086145,1.19670979549,0.40006670934,0,True,True
id03,False,native,event_window,3x3,0.5,0.75,E50-P75,1.408,1.544,0.987002241433,1.38706895077,0.40006670934,0,True,False
id03,False,native,event_window,3x3,0.5,0.9,E50-P90,1.408,4.135,1.01172316958,1.41178987892,0.40006670934,0,True,False
id03,False,native,event_window,3x3,0.75,0.5,E75-P50,4.626,0.646,0.830496083064,1.2305627924,0.40006670934,0,True,True
id03,False,native,event_window,3x3,0.75,0.75,E75-P75,4.626,1.544,1.09195715896,1.4920238683,0.40006670934,0,True,True
